,company_name,company_rating,other_data
758,Credgenics,3.7,"Internet , 51-200 Employees , Startup , 6 years old , Noida +2 more"
763,Anmol Industries,4.0,"Food Processing , 501-1k Employees , Public , 30 years old , Kolkata +56 more"
769,Tata Power,4.0,"Power , 10k-50k Employees , Public , 109 years old , Mumbai +119 more"
777,Vahdam Teas,3.7,"Financial Services , 11-50 Employees , Startup , 10 years old , Noida +2 more"
779,AU Small Finance Bank,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 28 years old , Jaipur +409 more"
781,AU Small Finance Bank,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 28 years old , Noida +409 more"
794,KPIT Technologies,3.6,"Software Product , 5k-10k Employees , Public , 34 years old , Noida +32 more"
799,RACL Geartech,4.1,"Auto Components , 201-500 Employees , Public , 35 years old , Noida +8 more"
808,Pitch N Hire,5.0,"Software Product , 51-200 Employees , Startup , 7 years old , Noida"
811,Housing.com,3.8,"Internet , 1k-5k Employees , Startup , 12 years old , Gurgaon / Gurugram +32 more"
817,Bharat IT Services,3.2,"IT Services & Consulting , 501-1k Employees , Public , 28 years old , Noida +43 more"
820,Housing.com,3.8,"Internet , 1k-5k Employees , Startup , 12 years old , Noida +32 more"
821,Speqto Technologies,4.3,"Software Product , 51-200 Employees , Startup , 7 years old , Noida +2 more"
826,Projects & Development India,4.0,"Oil & Gas , 201-500 Employees , State , 73 years old , Noida +16 more"
827,HDFC Life,4.1,"Insurance , 10k-50k Employees , Public , 24 years old , Noida +563 more"
832,Ginni Filaments,3.7,"Fashion & Textile , 1k-5k Employees , Public , 34 years old , Noida +12 more"
847,Happiest Minds Technologies,3.9,"IT Services & Consulting , 1k-5k Employees , Public , 13 years old , Noida +14 more"
848,IIFL Finance,4.0,"NBFC , 10k-50k Employees , Public , 29 years old , Noida +673 more"
850,TVS Motor,4.1,"Automobile , 5k-10k Employees , Public , 45 years old , Noida +279 more"
